time,tx,ty,tz,rx,ry,rz,rw
  y,1.07898882754,-0.0910746601539,0.0,0.0,0.0,0.77376905619,0.6334677953
1539699406,-0.000682257737433,-0.00602948401111,0.0,0.0,0.0,0.00113300176548,0.999999358153
1539699415,0.208531814065,0.00103388363702,0.0,0.0,0.0,0.0835853416191,0.996500622512
1539699416,0.39673409549,0.0752968841823,0.0,0.0,0.0,0.299169813523,0.954199886123
1539699417,0.473419854947,0.143132942201,0.0,0.0,0.0,0.409156588003,0.912464183677
1539699418,0.567059082991,0.317124702133,0.0,0.0,0.0,0.596833911106,0.802364806403
1539699419,0.584287597935,0.412965658745,0.0,0.0,0.0,0.680164163021,0.733059827942
1539699420,0.582405497175,0.578119766962,0.0,0.0,0.0,0.751679177737,0.659528933222
1539699421,0.512680914566,0.792579793577,0.0,0.0,0.0,0.876702139757,0.481033635149
1539699422,0.378459090883,0.918266911092,0.0,0.0,0.0,0.96321684698,0.268725335043
1539699423,0.267732917616,0.965386108465,0.0,0.0,0.0,0.987325312082,0.158709571617
1539699424,0.131865993393,0.993870868489,0.0,0.0,0.0,0.998287316099,0.0585015770451
1539699425,-0.0408974489021,0.997386937984,0.0,0.0,0.0,-0.998417627702,0.0562338038394
1539699426,-0.237078717607,0.906403084302,0.0,0.0,0.0,-0.918753036441,0.394832696252
1539699427,-0.295128479934,0.808106254601,0.0,0.0,0.0,-0.815701187046,0.578473485521
1539699428,-0.308256931726,0.686979508345,0.0,0.0,0.0,-0.696949094647,0.717120603156
1539699429,-0.294566218162,0.589923223939,0.0,0.0,0.0,-0.617917165188,0.786243204718
1539699430,-0.240651015468,0.358001890612,0.0,0.0,0.0,-0.642138103387,0.766588974731
1539699431,-0.21690576399,0.158216954694,0.0,0.0,0.0,-0.680551547785,0.732700205274
1539699432,-0.213235325705,-0.0411955512508,0.0,0.0,0.0,-0.721178245493,0.692749549424
1539699434,-0.280657980862,-0.353168471114,0.0,0.0,0.0,-0.868548968287,0.495603359238
1539699435,-0.335786839743,-0.424215094927,0.0,0.0,0.0,-0.927608988795,0.373552625352
1539699436,-0.484685685115,-0.505262829133,0.0,0.0,0.0,-0.996141848878,0.0877577171231
1539699437,-0.594583362629,-0.498901303899,0.0,0.0,0.0,0.992215132174,0.124535663503
1539699438,-0.754498270984,-0.433513456906,0.0,0.0,0.0,0.966480968234,0.256738267583
